Entry	Protein names	Gene names	Organism	Entry name
Q9CQA5	Mediator of RNA polymerase II transcription subunit 4 (Mediator complex subunit 4)	Med4 Vdrip	Mus musculus (Mouse)	MED4_MOUSE
P27106	Muellerian-inhibiting factor (Anti-Muellerian hormone) (AMH) (Muellerian-inhibiting substance) (MIS)	Amh	Mus musculus (Mouse)	MIS_MOUSE
Q8VI63	MOB kinase activator 2 (Mob2 homolog) (Mps one binder kinase activator-like 2) (Ovary-specific MOB-like protein)	Mob2 Mmh	Mus musculus (Mouse)	MOB2_MOUSE
Q8BPB0	MOB kinase activator 1B (Mob1 homolog 1A) (Mps one binder kinase activator-like 1A)	Mob1b Mobkl1a	Mus musculus (Mouse)	MOB1B_MOUSE
O54732	Matrix metalloproteinase-15 (MMP-15) (EC 3.4.24.-) (Membrane-type matrix metalloproteinase 2) (MT-MMP 2) (MTMMP2) (Membrane-type-2 matrix metalloproteinase) (MT2-MMP) (MT2MMP)	Mmp15	Mus musculus (Mouse)	MMP15_MOUSE
Q91VR7	Microtubule-associated proteins 1A/1B light chain 3A (Autophagy-related protein LC3 A) (Autophagy-related ubiquitin-like modifier LC3 A) (MAP1 light chain 3-like protein 1) (MAP1A/MAP1B light chain 3 A) (MAP1A/MAP1B LC3 A) (Microtubule-associated protein 1 light chain 3 alpha)	Map1lc3a	Mus musculus (Mouse)	MLP3A_MOUSE
Q8VEL2	Myotubularin-related protein 14 (EC 3.1.3.-) (mJumpy)	Mtmr14	Mus musculus (Mouse)	MTMRE_MOUSE
Q8BGG6	Motile sperm domain-containing protein 3	Mospd3	Mus musculus (Mouse)	MSPD3_MOUSE
Q3UMQ8	H/ACA ribonucleoprotein complex non-core subunit NAF1	Naf1	Mus musculus (Mouse)	NAF1_MOUSE
O35682	Myeloid-associated differentiation marker (Myeloid up-regulated protein)	Myadm Mug	Mus musculus (Mouse)	MYADM_MOUSE
Q61477	Neuroblastoma suppressor of tumorigenicity 1 (N03) (Zinc finger protein DAN)	Nbl1 Dan Dana	Mus musculus (Mouse)	NBL1_MOUSE
P56388	Cocaine- and amphetamine-regulated transcript protein [Cleaved into: CART(1-52); CART(55-102); CART(62-102)]	Cartpt Cart	Mus musculus (Mouse)	CART_MOUSE
Q9DAD0	Protein C1orf194 homolog		Mus musculus (Mouse)	CA194_MOUSE
Q80WR5	UPF0688 protein C1orf174 homolog		Mus musculus (Mouse)	CA174_MOUSE
Q9R1W5	Calcitonin gene-related peptide type 1 receptor (CGRP type 1 receptor) (Calcitonin receptor-like receptor)	Calcrl Crlr	Mus musculus (Mouse)	CALRL_MOUSE
E9PVB3	Coiled-coil domain-containing protein 175	Ccdc175	Mus musculus (Mouse)	CC175_MOUSE
O70354	Carbonic anhydrase-related protein 11 (CA-RP XI) (CA-XI) (CARP XI) (Carbonic anhydrase-related protein 2) (CA-RP II) (CARP-2)	Ca11 Car11 Carp2	Mus musculus (Mouse)	CAH11_MOUSE
Q3UY96	Cilia- and flagella-associated protein 74	Cfap74	Mus musculus (Mouse)	CFA74_MOUSE
O08918	Cyclin-G2	Ccng2	Mus musculus (Mouse)	CCNG2_MOUSE
A2A432	Cullin-4B (CUL-4B)	Cul4b Kiaa0695	Mus musculus (Mouse)	CUL4B_MOUSE
P10889	C-X-C motif chemokine 2 (Macrophage inflammatory protein 2) (MIP2)	Cxcl2 Mip-2 Mip2 Scyb2	Mus musculus (Mouse)	CXCL2_MOUSE
P59055	Cysteine/serine-rich nuclear protein 3 (CSRNP-3) (Protein FAM130A2) (TGF-beta-induced apoptosis protein 2) (TAIP-2)	Csrnp3 Fam130a2 Mbu1 Taip2	Mus musculus (Mouse)	CSRN3_MOUSE
Q80ZN5	Cystatin-13 (Cystatin-T)	Cst13 Cymg1	Mus musculus (Mouse)	CST13_MOUSE
Q8BQU6	Gap junction gamma-2 protein (Connexin-47) (Cx47) (Gap junction alpha-12 protein)	Gjc2 Gja12	Mus musculus (Mouse)	CXG2_MOUSE
Q8VII3	Cystatin-14 (Cystatin SC)	Cst14	Mus musculus (Mouse)	CST14_MOUSE
Q9EPL2	Calsyntenin-1 (Alcadein-alpha) (Alc-alpha) [Cleaved into: Soluble Alc-alpha (SAlc-alpha); CTF1-alpha (C-terminal fragment 1-alpha)]	Clstn1 Cs1 Cstn1 Kiaa0911	Mus musculus (Mouse)	CSTN1_MOUSE
A2ARP9	Cation channel sperm-associated protein 2 (CatSper2)	Catsper2	Mus musculus (Mouse)	CTSR2_MOUSE
P28229	Gap junction gamma-1 protein (Connexin-45) (Cx45) (Gap junction alpha-7 protein)	Gjc1 Cxn-45 Gja7	Mus musculus (Mouse)	CXG1_MOUSE
Q9D1K7	UPF0687 protein C20orf27 homolog		Mus musculus (Mouse)	CT027_MOUSE
Q8VDF3	Death-associated protein kinase 2 (DAP kinase 2) (EC 2.7.11.1) (DAP-kinase-related protein 1) (DRP-1)	Dapk2	Mus musculus (Mouse)	DAPK2_MOUSE
Q9QZ41	Protein DBF4 homolog A (MuDBF4)	Dbf4 Dbf4a	Mus musculus (Mouse)	DBF4A_MOUSE
Q6TYB5	Fasciculation and elongation protein zeta-2 (Zygin II) (Zygin-2)	Fez2	Mus musculus (Mouse)	FEZ2_MOUSE
Q3U564	mRNA-decapping enzyme 1B (EC 3.6.1.62)	Dcp1b	Mus musculus (Mouse)	DCP1B_MOUSE
Q9JJY4	Probable ATP-dependent RNA helicase DDX20 (EC 3.6.4.13) (Component of gems 3) (DEAD box protein 20) (DEAD box protein DP 103) (Gemin-3) (Regulator of steroidogenic factor 1) (ROSF-1)	Ddx20 Dp103 Gemin3	Mus musculus (Mouse)	DDX20_MOUSE
Q8CDI2	F-box only protein 43 (Endogenous meiotic inhibitor 2)	Fbxo43 Emi2	Mus musculus (Mouse)	FBX43_MOUSE
Q7TSG3	F-box only protein 5 (Early mitotic inhibitor 1)	Fbxo5 Emi1	Mus musculus (Mouse)	FBX5_MOUSE
Q4FZF3	Probable ATP-dependent RNA helicase DDX49 (EC 3.6.4.13) (DEAD box protein 49)	Ddx49	Mus musculus (Mouse)	DDX49_MOUSE
Q80TY0	Formin-binding protein 1 (Formin-binding protein 17)	Fnbp1 Fbp17 Kiaa0554	Mus musculus (Mouse)	FNBP1_MOUSE
Q059Y8	E3 ubiquitin-protein ligase DCST1 (EC 2.3.2.27) (DC-STAMP domain-containing protein 1) (RING-type E3 ubiquitin transferase)	Dcst1	Mus musculus (Mouse)	DCST1_MOUSE
Q91X52	L-xylulose reductase (XR) (EC 1.1.1.10) (Dicarbonyl/L-xylulose reductase)	Dcxr	Mus musculus (Mouse)	DCXR_MOUSE
A2A9Q0	Fibronectin type III domain-containing protein 10	Fndc10	Mus musculus (Mouse)	FND10_MOUSE
Q8R368	Dynein axonemal assembly factor 4 (Dyslexia susceptibility 1 candidate gene 1 protein homolog)	Dnaaf4 Dyx1c1 Ekn1	Mus musculus (Mouse)	DAAF4_MOUSE
Q8BPM0	Disheveled-associated activator of morphogenesis 1	Daam1	Mus musculus (Mouse)	DAAM1_MOUSE
Q6NWW9	Fibronectin type III domain-containing protein 3B (Factor for adipocyte differentiation 104) (HCV NS5A-binding protein 37)	Fndc3b Fad104 Kiaa4164 Ns5abp37	Mus musculus (Mouse)	FND3B_MOUSE
Q9DAF3	Protein DDI1 homolog 1 (EC 3.4.23.-)	Ddi1	Mus musculus (Mouse)	DDI1_MOUSE
P21460	Cystatin-C (Cystatin-3)	Cst3	Mus musculus (Mouse)	CYTC_MOUSE
Q9QYB2	Dachshund homolog 1 (Dach1)	Dach1 Dach	Mus musculus (Mouse)	DACH1_MOUSE
P63037	DnaJ homolog subfamily A member 1 (DnaJ protein homolog 2) (Heat shock 40 kDa protein 4) (Heat shock protein J2) (HSJ-2)	Dnaja1 Dnaj2 Hsj2 Hspf4	Mus musculus (Mouse)	DNJA1_MOUSE
Q8BWT5	Disco-interacting protein 2 homolog A (DIP2 homolog A) (EC 6.2.1.1)	Dip2a Dip2 Kiaa0184	Mus musculus (Mouse)	DIP2A_MOUSE
Q9EQ06	Estradiol 17-beta-dehydrogenase 11 (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase 11) (17-beta-HSD 11) (17bHSD11) (17betaHSD11) (17-beta-hydroxysteroid dehydrogenase XI) (17-beta-HSD XI) (17betaHSDXI) (Dehydrogenase/reductase SDR family member 8)	Hsd17b11 Dhrs8 Pan1b	Mus musculus (Mouse)	DHB11_MOUSE
Q9D844	DnaJ homolog subfamily C member 4 (Multiple endocrine neoplasia type 1 candidate protein number 18 homolog)	Dnajc4 Mcg18	Mus musculus (Mouse)	DNJC4_MOUSE
Q80Y83	Dixin (Coiled-coil protein DIX1) (Coiled-coil-DIX1) (DIX domain-containing protein 1)	Dixdc1 Ccd1 Kiaa1735	Mus musculus (Mouse)	DIXC1_MOUSE
Q6ZQJ5	DNA replication ATP-dependent helicase/nuclease DNA2 (DNA replication ATP-dependent helicase-like homolog) [Includes: DNA replication nuclease DNA2 (EC 3.1.-.-); DNA replication ATP-dependent helicase DNA2 (EC 3.6.4.12)]	Dna2 Dna2l Kiaa0083	Mus musculus (Mouse)	DNA2_MOUSE
Q64016	Alpha-defensin 17 (Defensin-related cryptdin-17) (CRYP17) (Fragment)	Defa17 Defcr17	Mus musculus (Mouse)	DFA17_MOUSE
Q5G866	Alpha-defensin 23 (Defensin-related cryptdin-23)	Defa23 Defcr23	Mus musculus (Mouse)	DFA23_MOUSE
Q5G865	Alpha-defensin 24 (Defensin-related cryptdin-24)	Defa24 Defcr24	Mus musculus (Mouse)	DFA24_MOUSE
P50714	Alpha-defensin 16 (Defensin-related cryptdin-16)	Defa16 Defcr16	Mus musculus (Mouse)	DFA16_MOUSE
Q5G864	Alpha-defensin 25 (Defensin-related cryptdin-25)	Defa25 Defcr25	Mus musculus (Mouse)	DFA25_MOUSE
Q9DC23	DnaJ homolog subfamily C member 10 (EC 1.8.4.-) (Endoplasmic reticulum DNA J domain-containing protein 5) (ER-resident protein ERdj5) (ERdj5) (Endoplasmic reticulum DnaJ-PDI fusion protein 1) (J domain-containing protein disulfide isomerase-like protein) (J domain-containing PDI-like protein) (JPDI)	Dnajc10 Erdj5 Jpdi	Mus musculus (Mouse)	DJC10_MOUSE
Q7TMD2	Beta-defensin 37 (BD-37) (mBD-37) (Defensin, beta 37)	Defb37	Mus musculus (Mouse)	DFB37_MOUSE
Q30KN3	Beta-defensin 33 (BD-33) (mBD-33) (Defensin, beta 33)	Defb33	Mus musculus (Mouse)	DFB33_MOUSE
O54786	DNA fragmentation factor subunit alpha (DNA fragmentation factor 45 kDa subunit) (DFF-45) (Inhibitor of CAD) (ICAD)	Dffa Icad	Mus musculus (Mouse)	DFFA_MOUSE
A2ALW5	DnaJ homolog subfamily C member 25	Dnajc25	Mus musculus (Mouse)	DJC25_MOUSE
Q3USW5	FAD-dependent oxidoreductase domain-containing protein 2	Foxred2 D15Bwg0759e	Mus musculus (Mouse)	FXRD2_MOUSE
Q8VCE1	DnaJ homolog subfamily C member 28	Dnajc28 ORF28	Mus musculus (Mouse)	DJC28_MOUSE
Q8CFP6	DnaJ homolog subfamily C member 27 (Rab and DnaJ domain-containing protein)	Dnajc27 Rabj Rbj	Mus musculus (Mouse)	DJC27_MOUSE
Q6PE54	Probable ATP-dependent RNA helicase DHX40 (EC 3.6.4.13) (DEAH box protein 40)	Dhx40	Mus musculus (Mouse)	DHX40_MOUSE
Q149L6	DnaJ homolog subfamily B member 14	Dnajb14	Mus musculus (Mouse)	DJB14_MOUSE
Q8C1P2	Alpha-defensin 21 (Defensin-related cryptdin-21)	Defa21 Defcr21	Mus musculus (Mouse)	DFA21_MOUSE
P54818	Galactocerebrosidase (GALCERase) (EC 3.2.1.46) (Galactocerebroside beta-galactosidase) (Galactosylceramidase) (Galactosylceramide beta-galactosidase)	Galc	Mus musculus (Mouse)	GALC_MOUSE
Q9CY66	H/ACA ribonucleoprotein complex subunit 1 (Nucleolar protein family A member 1) (snoRNP protein GAR1)	Gar1 Nola1	Mus musculus (Mouse)	GAR1_MOUSE
Q571E4	N-acetylgalactosamine-6-sulfatase (EC 3.1.6.4) (Chondroitinsulfatase) (Chondroitinase) (Galactose-6-sulfate sulfatase) (N-acetylgalactosamine-6-sulfate sulfatase) (GalNAc6S sulfatase)	Galns	Mus musculus (Mouse)	GALNS_MOUSE
Q8CIG0	DEP domain-containing protein 1A	Depdc1a	Mus musculus (Mouse)	DEP1A_MOUSE
Q91WC9	Diacylglycerol lipase-beta (DAGL-beta) (DAGLbeta) (DGL-beta) (EC 3.1.1.116) (PUFA-specific triacylglycerol lipase) (EC 3.1.1.3) (Sn1-specific diacylglycerol lipase beta)	Daglb	Mus musculus (Mouse)	DGLB_MOUSE
Q810H5	Galanin-like peptide	Galp	Mus musculus (Mouse)	GALP_MOUSE
Q61088	Frizzled-4 (Fz-4) (mFz4) (CD antigen CD344)	Fzd4	Mus musculus (Mouse)	FZD4_MOUSE
Q8BHD4	FERM domain-containing protein 3	Frmd3	Mus musculus (Mouse)	FRMD3_MOUSE
Q8C102	Polypeptide N-acetylgalactosaminyltransferase 5 (EC 2.4.1.41) (Polypeptide GalNAc transferase 5) (GalNAc-T5) (pp-GaNTase 5) (Protein-UDP acetylgalactosaminyltransferase 5) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 5)	Galnt5	Mus musculus (Mouse)	GALT5_MOUSE
Q01721	Growth arrest-specific protein 1 (GAS-1)	Gas1 Gas-1	Mus musculus (Mouse)	GAS1_MOUSE
Q6P5H6	FERM domain-containing protein 5	Frmd5	Mus musculus (Mouse)	FRMD5_MOUSE
Q61090	Frizzled-7 (Fz-7) (mFz7)	Fzd7	Mus musculus (Mouse)	FZD7_MOUSE
Q8BVW0	Neutral alpha-glucosidase C (EC 3.2.1.20)	Ganc	Mus musculus (Mouse)	GANC_MOUSE
P81069	GA-binding protein subunit beta-2 (GABP subunit beta-2) (GABPB-2) (GA-binding protein beta-2-1) (GABP subunit beta-2-1) (GABPB2-1)	Gabpb2	Mus musculus (Mouse)	GABP2_MOUSE
Q00422	GA-binding protein alpha chain (GABP subunit alpha)	Gabpa E4tf1a	Mus musculus (Mouse)	GABPA_MOUSE
O09160	Galactoside alpha-(1,2)-fucosyltransferase 1 (Alpha(1,2)FT 1) (Fucosyltransferase 1) (MFUT-1) (GDP-L-fucose:beta-D-galactoside 2-alpha-L-fucosyltransferase 1) (Type 1 galactoside alpha-(1,2)-fucosyltransferase FUT1) (EC 2.4.1.69) (Type 2 galactoside alpha-(1,2)-fucosyltransferase FUT1) (EC 2.4.1.344)	Fut1	Mus musculus (Mouse)	FUT1_MOUSE
Q32M02	Fascin-2 (Retinal fascin)	Fscn2	Mus musculus (Mouse)	FSCN2_MOUSE
Q9QXW4	Fascin-3 (Testis fascin)	Fscn3	Mus musculus (Mouse)	FSCN3_MOUSE
Q8BYN5	FSD1-like protein (Coiled-coil domain-containing protein 10) (FSD1 N-terminal-like protein)	Fsd1l Ccdc10 Csdufd1 Fsd1nl	Mus musculus (Mouse)	FSD1L_MOUSE
Q8BLX4	GDP-fucose transporter 1 (Solute carrier family 35 member C1)	Slc35c1 Fuct1	Mus musculus (Mouse)	FUCT1_MOUSE
P01101	Proto-oncogene c-Fos (Cellular oncogene fos)	Fos	Mus musculus (Mouse)	FOS_MOUSE
Q7TPM6	Fibronectin type III and SPRY domain-containing protein 1	Fsd1	Mus musculus (Mouse)	FSD1_MOUSE
P35584	Hepatocyte nuclear factor 3-gamma (HNF-3-gamma) (HNF-3G) (Forkhead box protein A3)	Foxa3 Hnf3g Tcf-3g Tcf3g	Mus musculus (Mouse)	FOXA3_MOUSE
Q64732	Forkhead box protein B1 (Transcription factor FKH-5)	Foxb1 Fkh5 Foxb1a Foxb1b Mf3	Mus musculus (Mouse)	FOXB1_MOUSE
Q64733	Forkhead box protein B2 (Transcription factor FKH-4)	Foxb2 Fkh4	Mus musculus (Mouse)	FOXB2_MOUSE
Q61572	Forkhead box protein C1 (Forkhead-related protein FKHL7) (Forkhead-related transcription factor 3) (FREAC-3) (Mesoderm/mesenchyme forkhead 1) (MF-1) (Transcription factor FKH-1)	Foxc1 Fkh1 Fkhl7 Freac3 Mf1	Mus musculus (Mouse)	FOXC1_MOUSE
Q61850	Forkhead box protein C2 (Brain factor 3) (BF-3) (Forkhead-related protein FKHL14) (Mesenchyme fork head protein 1) (MFH-1 protein) (Transcription factor FKH-14)	Foxc2 Fkh14 Fkhl14 Mfh1	Mus musculus (Mouse)	FOXC2_MOUSE
Q61345	Forkhead box protein D1 (Brain factor 2) (BF-2) (Forkhead-related protein FKHL8) (Forkhead-related transcription factor 4) (FREAC-4) (HFH-BF-2)	Foxd1 Fkhl8 Freac4 Hfhbf2	Mus musculus (Mouse)	FOXD1_MOUSE
O35392	Forkhead box protein D2 (Mesoderm/mesenchyme forkhead 2) (MF-2)	Foxd2 Mf2	Mus musculus (Mouse)	FOXD2_MOUSE
Q9QY14	Forkhead box protein E3	Foxe3	Mus musculus (Mouse)	FOXE3_MOUSE
Q61660	Forkhead box protein J1 (Hepatocyte nuclear factor 3 forkhead homolog 4) (HFH-4)	Foxj1 Hfh4	Mus musculus (Mouse)	FOXJ1_MOUSE
O08696	Forkhead box protein M1 (Forkhead homolog 16) (Winged-helix transcription factor Trident)	Foxm1 Fkh16	Mus musculus (Mouse)	FOXM1_MOUSE
Q8C456	WD repeat-containing and planar cell polarity effector protein fritz homolog (mFrtz) (Homolog-13) (WD repeat-containing and planar cell polarity effector protein)	Wdpcp	Mus musculus (Mouse)	FRITZ_MOUSE
Q8CCH7	Zinc finger protein ZFPM2 (Friend of GATA protein 2) (FOG-2) (Friend of GATA 2) (mFOG-2) (Zinc finger protein multitype 2)	Zfpm2 Fog2	Mus musculus (Mouse)	FOG2_MOUSE
P58462	Forkhead box protein P1 (Forkhead-related transcription factor 1)	Foxp1	Mus musculus (Mouse)	FOXP1_MOUSE
P35846	Folate receptor alpha (FR-alpha) (Folate receptor 1) (Folate-binding protein 1)	Folr1 Fbp1 Folbp1	Mus musculus (Mouse)	FOLR1_MOUSE
Q05685	Folate receptor beta (FR-beta) (Folate receptor 2) (Folate-binding protein 2)	Folr2 Fbp2 Folbp2	Mus musculus (Mouse)	FOLR2_MOUSE
P58463	Forkhead box protein P2	Foxp2	Mus musculus (Mouse)	FOXP2_MOUSE
Q9QZ05	eIF-2-alpha kinase GCN2 (Eukaryotic translation initiation factor 2-alpha kinase 4) (EC 2.7.11.1) (GCN2-like protein) (mGCN2)	Eif2ak4 Gcn2 Kiaa1338	Mus musculus (Mouse)	E2AK4_MOUSE
Q9WV92	Band 4.1-like protein 3 (4.1B) (Differentially expressed in adenocarcinoma of the lung protein 1) (DAL-1) (DAL1P) (mDAL-1) (Erythrocyte membrane protein band 4.1-like 3) [Cleaved into: Band 4.1-like protein 3, N-terminally processed]	Epb41l3 Dal1 Epb4.1l3 Kiaa0987	Mus musculus (Mouse)	E41L3_MOUSE
O35459	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial (EC 5.3.3.-)	Ech1	Mus musculus (Mouse)	ECH1_MOUSE
Q9D9D8	Dual specificity phosphatase 21 (EC 3.1.3.16) (EC 3.1.3.48)	Dusp21	Mus musculus (Mouse)	DUS21_MOUSE
Q9QYJ7	Dual specificity protein phosphatase 13 isoform B (DUSP13B) (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity tyrosine phosphatase TS-DSP6) (Testis- and skeletal muscle-specific DSP)	Dusp13 Gm1203 Tmdp	Mus musculus (Mouse)	DS13B_MOUSE
Q61508	Extracellular matrix protein 1 (Secretory component p85)	Ecm1	Mus musculus (Mouse)	ECM1_MOUSE
Q8K4T5	Dual specificity protein phosphatase 19 (EC 3.1.3.16) (EC 3.1.3.48) (Protein phosphatase SKRP1) (Stress-activated protein kinase pathway-regulating phosphatase 1)	Dusp19 Skrp1	Mus musculus (Mouse)	DUS19_MOUSE
Q9CYC5	Kinetochore-associated protein DSN1 homolog	Dsn1	Mus musculus (Mouse)	DSN1_MOUSE
Q9CQ36	DNA polymerase epsilon subunit 4 (DNA polymerase II subunit 4) (DNA polymerase epsilon subunit p12)	Pole4	Mus musculus (Mouse)	DPOE4_MOUSE
Q5U4C9	Dual specificity tyrosine-phosphorylation-regulated kinase 2 (EC 2.7.12.1)	Dyrk2	Mus musculus (Mouse)	DYRK2_MOUSE
Q3V3K7	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 7 (EC 2.4.1.-)	Gcnt7	Mus musculus (Mouse)	GCNT7_MOUSE
Q922Y0	Dual specificity tyrosine-phosphorylation-regulated kinase 3 (EC 2.7.12.1)	Dyrk3	Mus musculus (Mouse)	DYRK3_MOUSE
Q9Z2H7	PDZ domain-containing protein GIPC2 (SemaF cytoplasmic domain-associated protein 2) (SEMCAP-2)	Gipc2 Semcap2	Mus musculus (Mouse)	GIPC2_MOUSE
Q9EQF6	Dihydropyrimidinase-related protein 5 (DRP-5) (Collapsin response mediator protein 5) (CRMP-5)	Dpysl5 Crmp5	Mus musculus (Mouse)	DPYL5_MOUSE
Q62160	Rho GDP-dissociation inhibitor 3 (Rho GDI 3) (Rho-GDI gamma) (Rho-GDI2)	Arhgdig Gdi5	Mus musculus (Mouse)	GDIR3_MOUSE
O35098	Dihydropyrimidinase-related protein 4 (DRP-4) (Collapsin response mediator protein 3) (CRMP-3) (UNC33-like phosphoprotein 4) (ULIP-4)	Dpysl4 Crmp3 Ulip4	Mus musculus (Mouse)	DPYL4_MOUSE
P28843	Dipeptidyl peptidase 4 (EC 3.4.14.5) (Dipeptidyl peptidase IV) (DPP IV) (T-cell activation antigen CD26) (Thymocyte-activating molecule) (THAM) (CD antigen CD26) [Cleaved into: Dipeptidyl peptidase 4 membrane form (Dipeptidyl peptidase IV membrane form); Dipeptidyl peptidase 4 soluble form (Dipeptidyl peptidase IV soluble form)]	Dpp4 Cd26	Mus musculus (Mouse)	DPP4_MOUSE
P30728	D(3) dopamine receptor (Dopamine D3 receptor)	Drd3	Mus musculus (Mouse)	DRD3_MOUSE
Q8CDY7	Dynein light chain Tctex-type 4 (Tctex1 domain-containing protein 4)	Dynlt4 Tctex1d4	Mus musculus (Mouse)	DYLT4_MOUSE
Q05915	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)	Gch1 Gch	Mus musculus (Mouse)	GCH1_MOUSE
P17439	Lysosomal acid glucosylceramidase (Lysosomal acid GCase) (EC 3.2.1.45) (Acid beta-glucosidase) (Beta-glucocerebrosidase) (Cholesterol glucosyltransferase) (SGTase) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase) (EC 3.2.1.-) (D-glucosyl-N-acylsphingosine glucohydrolase)	Gba	Mus musculus (Mouse)	GLCM_MOUSE
Q91WG8	Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase (UDP-GlcNAc-2-epimerase/ManAc kinase) [Includes: UDP-N-acetylglucosamine 2-epimerase (hydrolyzing) (EC 3.2.1.183) (UDP-GlcNAc-2-epimerase) (Uridine diphosphate-N-acetylglucosamine-2-epimerase); N-acetylmannosamine kinase (EC 2.7.1.60) (ManAc kinase)]	Gne Glcne Uae1	Mus musculus (Mouse)	GLCNE_MOUSE
Q9D964	Glycine amidinotransferase, mitochondrial (EC 2.1.4.1) (L-arginine:glycine amidinotransferase) (Transamidinase)	Gatm	Mus musculus (Mouse)	GATM_MOUSE
Q9CQS7	Developmental pluripotency-associated protein 5A (mDppa5) (ES cell-associated transcript 2 protein) (Embryonal stem cell-specific gene 1 protein) (ESG-1) (Protein pH 34)	Dppa5a Dppa5 Ecat2 Esg1 Ph34	Mus musculus (Mouse)	DPA5A_MOUSE
P85965	Developmental pluripotency-associated protein 5B/5C	Dppa5b; Dppa5c	Mus musculus (Mouse)	DPA5B_MOUSE
Q9D113	DNL-type zinc finger protein (Hsp70-escort protein 1) (HEP1) (mtHsp70-escort protein)	Dnlz D2Bwg1335e	Mus musculus (Mouse)	DNLZ_MOUSE
Q3UHQ6	Protein dopey-2	Dop1b Dopey2 Kiaa0933	Mus musculus (Mouse)	DOP2_MOUSE
Q8K1M6	Dynamin-1-like protein (EC 3.6.5.5) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-related protein 1)	Dnm1l Drp1	Mus musculus (Mouse)	DNM1L_MOUSE
P33611	DNA polymerase alpha subunit B (DNA polymerase alpha 70 kDa subunit)	Pola2	Mus musculus (Mouse)	DPOA2_MOUSE
Q8BPA8	Protein DPCD	Dpcd	Mus musculus (Mouse)	DPCD_MOUSE
Q8C8T7	Protein ELFN1 (Extracellular leucine-rich repeat and fibronectin type-III domain-containing protein 1) (Protein phosphatase 1 regulatory subunit 28)	Elfn1 Ppp1r28	Mus musculus (Mouse)	ELFN1_MOUSE
Q8BGF6	ELMO domain-containing protein 2	Elmod2	Mus musculus (Mouse)	ELMD2_MOUSE
O08856	RNA polymerase II elongation factor ELL (Eleven-nineteen lysine-rich leukemia protein)	Ell	Mus musculus (Mouse)	ELL_MOUSE
Q8BIK4	Dedicator of cytokinesis protein 9 (Cdc42 guanine nucleotide exchange factor zizimin-1) (Zizimin-1)	Dock9 D14Wsu89e Kiaa1058 Ziz1	Mus musculus (Mouse)	DOCK9_MOUSE
P41971	ETS domain-containing protein Elk-3 (ETS-related protein ERP) (ETS-related protein NET)	Elk3 Erp Net	Mus musculus (Mouse)	ELK3_MOUSE
Q9JLJ5	Elongation of very long chain fatty acids protein 1 (EC 2.3.1.199) (3-keto acyl-CoA synthase Elovl1) (ELOVL fatty acid elongase 1) (ELOVL FA elongase 1) (Very long chain 3-ketoacyl-CoA synthase 1) (Very long chain 3-oxoacyl-CoA synthase 1)	Elovl1 Ssc1	Mus musculus (Mouse)	ELOV1_MOUSE
P17182	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 1) (Non-neural enolase) (NNE)	Eno1 Eno-1	Mus musculus (Mouse)	ENOA_MOUSE
P17183	Gamma-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 2) (Neural enolase) (Neuron-specific enolase) (NSE)	Eno2 Eno-2	Mus musculus (Mouse)	ENOG_MOUSE
Q9ER73	Elongator complex protein 4 (PAX6 neighbor gene protein)	Elp4 Paxneb	Mus musculus (Mouse)	ELP4_MOUSE
Q9DCH4	Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47)	Eif3f Eif3s5	Mus musculus (Mouse)	EIF3F_MOUSE
Q7TQP0	Probable G-protein coupled receptor 141 (G-protein coupled receptor PGR13)	Gpr141 Pgr13	Mus musculus (Mouse)	GP141_MOUSE
Q7TQN9	Probable G-protein coupled receptor 142	Gpr142	Mus musculus (Mouse)	GP142_MOUSE
Q921L8	Polypeptide N-acetylgalactosaminyltransferase 11 (EC 2.4.1.41) (Polypeptide GalNAc transferase 11) (GalNAc-T11) (pp-GaNTase 11) (Protein-UDP acetylgalactosaminyltransferase 11) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 11)	Galnt11	Mus musculus (Mouse)	GLT11_MOUSE
Q8CJF7	Protein ELYS (Embryonic large molecule derived from yolk sac) (Protein MEL-28) (Putative AT-hook-containing transcription factor 1)	Ahctf1 Elys	Mus musculus (Mouse)	ELYS_MOUSE
Q8BH64	EH domain-containing protein 2	Ehd2	Mus musculus (Mouse)	EHD2_MOUSE
